protector,enabled,name,mode
rule-engine,False,Wrong HPKP usage,monitoring
rule-engine,True,Session fixation,monitoring
rule-engine,True,Local File Inclusion,block_request
rule-engine,True,DAws Web Shell,block_request
rule-engine,True,Sensitive Information Leakage in HTTP Response Headers,monitoring
rule-engine,True,PHP-FPM Remote Command Execution (CVE-2019-11043),block_request
rule-engine,True,Missing HTTPS Strict Transport Security,monitoring
rule-engine,True,_Amount,block_request
response-filter,True,SQL Error Leakage (1),block_request
rule-engine,True,Allow ony Russia,monitoring
rule-engine,True,_catch_pass,sanitize
rule-engine,False,_catch_header,sanitize
rule-engine,False,Deny all world,block_request
rule-engine,False,_ig_test,block_request
csrf,True,Invalid CSRF Token,block_request
csrf,True,CSRF Token Expired,block_request
rule-engine,True,OS Command Injection (id Command),block_request
openredirect,True,Open Redirect via Location Header,block_request
http,False,No Cookie Token,block_request
